sent1,sent2,score
"['a', 'plane', 'is', 'taking', 'off']","['an', 'air', 'plane', 'is', 'taking', 'off']",5.0
"['a', 'man', 'is', 'playing', 'a', 'large', 'flute']","['a', 'man', 'is', 'playing', 'a', 'flute']",3.8
"['a', 'man', 'is', 'spreading', 'sh', '##red', '##ed', 'cheese', 'on', 'a', 'pizza']","['a', 'man', 'is', 'spreading', 'shredded', 'cheese', 'on', 'an', 'un', '##co', '##oked', 'pizza']",3.8
"['three', 'men', 'are', 'playing', 'chess']","['two', 'men', 'are', 'playing', 'chess']",2.6
"['a', 'man', 'is', 'playing', 'the', 'cello']","['a', 'man', 'seated', 'is', 'playing', 'the', 'cello']",4.25
"['some', 'men', 'are', 'fighting']","['two', 'men', 'are', 'fighting']",4.25
"['a', 'man', 'is', 'smoking']","['a', 'man', 'is', 'skating']",0.5
"['the', 'man', 'is', 'playing', 'the', 'piano']","['the', 'man', 'is', 'playing', 'the', 'guitar']",1.6
"['a', 'man', 'is', 'playing', 'on', 'a', 'guitar', 'and', 'singing']","['a', 'woman', 'is', 'playing', 'an', 'acoustic', 'guitar', 'and', 'singing']",2.2
"['a', 'person', 'is', 'throwing', 'a', 'cat', 'on', 'to', 'the', 'ceiling']","['a', 'person', 'throws', 'a', 'cat', 'on', 'the', 'ceiling']",5.0
"['the', 'man', 'hit', 'the', 'other', 'man', 'with', 'a', 'stick']","['the', 'man', 'span', '##ked', 'the', 'other', 'man', 'with', 'a', 'stick']",4.2
"['a', 'woman', 'picks', 'up', 'and', 'holds', 'a', 'baby', 'kangaroo']","['a', 'woman', 'picks', 'up', 'and', 'holds', 'a', 'baby', 'kangaroo', 'in', 'her', 'arms']",4.6
"['a', 'man', 'is', 'playing', 'a', 'flute']","['a', 'man', 'is', 'playing', 'a', 'bamboo', 'flute']",3.867
"['a', 'person', 'is', 'folding', 'a', 'piece', 'of', 'paper']","['someone', 'is', 'folding', 'a', 'piece', 'of', 'paper']",4.667
"['a', 'man', 'is', 'running', 'on', 'the', 'road']","['a', 'panda', 'dog', 'is', 'running', 'on', 'the', 'road']",1.667
"['a', 'dog', 'is', 'trying', 'to', 'get', 'bacon', 'off', 'his', 'back']","['a', 'dog', 'is', 'trying', 'to', 'eat', 'the', 'bacon', 'on', 'its', 'back']",3.75
"['the', 'polar', 'bear', 'is', 'sliding', 'on', 'the', 'snow']","['a', 'polar', 'bear', 'is', 'sliding', 'across', 'the', 'snow']",5.0
"['a', 'woman', 'is', 'writing']","['a', 'woman', 'is', 'swimming']",0.5
"['a', 'cat', 'is', 'rubbing', 'against', 'baby', '##s', 'face']","['a', 'cat', 'is', 'rubbing', 'against', 'a', 'baby']",3.8
"['the', 'man', 'is', 'riding', 'a', 'horse']","['a', 'man', 'is', 'riding', 'on', 'a', 'horse']",5.0
"['a', 'man', 'pour', '##s', 'oil', 'into', 'a', 'pot']","['a', 'man', 'pour', '##s', 'wine', 'in', 'a', 'pot']",3.2
"['a', 'man', 'is', 'playing', 'a', 'guitar']","['a', 'girl', 'is', 'playing', 'a', 'guitar']",2.8
"['a', 'panda', 'is', 'sliding', 'down', 'a', 'slide']","['a', 'panda', 'slides', 'down', 'a', 'slide']",4.6
"['a', 'woman', 'is', 'eating', 'something']","['a', 'woman', 'is', 'eating', 'meat']",3.0
"['a', 'woman', 'peel', '##s', 'a', 'potato']","['a', 'woman', 'is', 'peeling', 'a', 'potato']",5.0
"['the', 'boy', 'fell', 'off', 'his', 'bike']","['a', 'boy', 'falls', 'off', 'his', 'bike']",4.8
"['the', 'woman', 'is', 'playing', 'the', 'flute']","['a', 'woman', 'is', 'playing', 'a', 'flute']",5.0
"['a', 'rabbit', 'is', 'running', 'from', 'an', 'eagle']","['a', 'hare', 'is', 'running', 'from', 'a', 'eagle']",4.2
"['the', 'woman', 'is', 'fry', '##ing', 'a', 'bread', '##ed', 'pork', 'chop']","['a', 'woman', 'is', 'cooking', 'a', 'bread', '##ed', 'pork', 'chop']",4.2
"['a', 'girl', 'is', 'flying', 'a', 'kite']","['a', 'girl', 'running', 'is', 'flying', 'a', 'kite']",4.0
"['a', 'man', 'is', 'riding', 'a', 'mechanical', 'bull']","['a', 'man', 'rode', 'a', 'mechanical', 'bull']",4.0
