sent1,sent2,score
"['a', 'plane', 'is', 'take', 'off']","['an', 'air', 'plane', 'is', 'take', 'off']",5.0
"['a', 'man', 'is', 'play', 'a', 'larg', 'flute']","['a', 'man', 'is', 'play', 'a', 'flute']",3.8
"['a', 'man', 'is', 'spread', 'unk', 'chees', 'on', 'a', 'pizza']","['a', 'man', 'is', 'spread', 'shred', 'chees', 'on', 'an', 'unk', 'pizza']",3.8
"['three', 'men', 'are', 'play', 'chess']","['two', 'men', 'are', 'play', 'chess']",2.6
"['a', 'man', 'is', 'play', 'the', 'cello']","['a', 'man', 'seat', 'is', 'play', 'the', 'cello']",4.25
"['some', 'men', 'are', 'fight']","['two', 'men', 'are', 'fight']",4.25
"['a', 'man', 'is', 'smoke']","['a', 'man', 'is', 'skate']",0.5
"['the', 'man', 'is', 'play', 'the', 'piano']","['the', 'man', 'is', 'play', 'the', 'guitar']",1.6
"['a', 'man', 'is', 'play', 'on', 'a', 'guitar', 'and', 'sing']","['a', 'woman', 'is', 'play', 'an', 'acoust', 'guitar', 'and', 'sing']",2.2
"['a', 'person', 'is', 'throw', 'a', 'cat', 'on', 'to', 'the', 'ceil']","['a', 'person', 'throw', 'a', 'cat', 'on', 'the', 'ceil']",5.0
"['the', 'man', 'hit', 'the', 'other', 'man', 'with', 'a', 'stick']","['the', 'man', 'spank', 'the', 'other', 'man', 'with', 'a', 'stick']",4.2
"['a', 'woman', 'pick', 'up', 'and', 'hold', 'a', 'babi', 'kangaroo']","['a', 'woman', 'pick', 'up', 'and', 'hold', 'a', 'babi', 'kangaroo', 'in', 'her', 'arm']",4.6
"['a', 'man', 'is', 'play', 'a', 'flute']","['a', 'man', 'is', 'play', 'a', 'bamboo', 'flute']",3.867
"['a', 'person', 'is', 'fold', 'a', 'piec', 'of', 'paper']","['someon', 'is', 'fold', 'a', 'piec', 'of', 'paper']",4.667
"['a', 'man', 'is', 'run', 'on', 'the', 'road']","['a', 'panda', 'dog', 'is', 'run', 'on', 'the', 'road']",1.667
"['a', 'dog', 'is', 'tri', 'to', 'get', 'bacon', 'off', 'hi', 'back']","['a', 'dog', 'is', 'tri', 'to', 'eat', 'the', 'bacon', 'on', 'it', 'back']",3.75
"['the', 'polar', 'bear', 'is', 'slide', 'on', 'the', 'snow']","['a', 'polar', 'bear', 'is', 'slide', 'across', 'the', 'snow']",5.0
"['a', 'woman', 'is', 'write']","['a', 'woman', 'is', 'swim']",0.5
"['a', 'cat', 'is', 'rub', 'against', 'babi', 'face']","['a', 'cat', 'is', 'rub', 'against', 'a', 'babi']",3.8
"['the', 'man', 'is', 'ride', 'a', 'hors']","['a', 'man', 'is', 'ride', 'on', 'a', 'hors']",5.0
"['a', 'man', 'pour', 'oil', 'into', 'a', 'pot']","['a', 'man', 'pour', 'wine', 'in', 'a', 'pot']",3.2
"['a', 'man', 'is', 'play', 'a', 'guitar']","['a', 'girl', 'is', 'play', 'a', 'guitar']",2.8
"['a', 'panda', 'is', 'slide', 'down', 'a', 'slide']","['a', 'panda', 'slide', 'down', 'a', 'slide']",4.6
"['a', 'woman', 'is', 'eat', 'someth']","['a', 'woman', 'is', 'eat', 'meat']",3.0
"['a', 'woman', 'peel', 'a', 'potato']","['a', 'woman', 'is', 'peel', 'a', 'potato']",5.0
"['the', 'boy', 'fell', 'off', 'hi', 'bike']","['a', 'boy', 'fall', 'off', 'hi', 'bike']",4.8
"['the', 'woman', 'is', 'play', 'the', 'flute']","['a', 'woman', 'is', 'play', 'a', 'flute']",5.0
"['a', 'rabbit', 'is', 'run', 'from', 'an', 'eagl']","['a', 'unk', 'is', 'run', 'from', 'a', 'eagl']",4.2
