sent1,sent2,score
"['plane', 'taking']","['avión', 'despegando']",5.0
"['man', 'playing', 'large', 'flute']","['hombre', 'tocando', 'flauta']",3.8
"['man', 'spreading', 'shreded', 'cheese', 'pizza']","['hombre', 'untando', 'queso', 'rallado', 'pizza', 'cruda']",3.8
"['three', 'men', 'playing', 'chess']","['do', 'hombre', 'jugando', 'ajedrez']",2.6
"['man', 'playing', 'cello']","['hombre', 'sentado', 'tocando', 'violonchelo']",4.25
"['men', 'fighting']","['do', 'hombre', 'luchando']",4.25
"['man', 'smoking']","['hombre', 'patinando']",0.5
"['man', 'playing', 'piano']","['hombre', 'tocando', 'guitarra']",1.6
"['man', 'playing', 'guitar', 'singing']","['mujer', 'tocando', 'guitarra', 'acústica', 'cantando']",2.2
"['person', 'throwing', 'cat', 'ceiling']","['persona', 'lanza', 'gato', 'techo']",5.0
"['man', 'hit', 'man', 'stick']","['hombre', 'golpeó', 'hombre', 'palo']",4.2
"['woman', 'pick', 'hold', 'baby', 'kangaroo']","['mujer', 'coge', 'sostiene', 'bebé', 'canguro', 'brazos']",4.6
"['man', 'playing', 'flute']","['hombre', 'tocando', 'flauta', 'bambú']",3.867
"['person', 'folding', 'piece', 'paper']","['alguien', 'doblando', 'pedazo', 'papel']",4.667
"['man', 'running', 'road']","['perro', 'panda', 'corriendo', 'carretera']",1.667
"['dog', 'trying', 'get', 'bacon', 'back']","['perro', 'tratando', 'comerse', 'tocino', 'espalda']",3.75
"['polar', 'bear', 'sliding', 'snow']","['oso', 'polar', 'deslizando', 'nieve']",5.0
"['woman', 'writing']","['mujer', 'nadando']",0.5
"['cat', 'rubbing', 'baby', 'face']","['gato', 'frotando', 'bebé']",3.8
"['man', 'riding', 'horse']","['hombre', 'montando', 'caballo']",5.0
"['man', 'pours', 'oil', 'pot']","['hombre', 'vierte', 'vino', 'olla']",3.2
"['man', 'playing', 'guitar']","['chica', 'tocando', 'guitarra']",2.8
"['panda', 'sliding', 'slide']","['panda', 'desliza', 'tobogán']",4.6
"['woman', 'eating', 'something']","['mujer', 'comiendo', 'carne']",3.0
"['woman', 'peel', 'potato']","['mujer', 'pelando', 'patata']",5.0
"['boy', 'fell', 'bike']","['chico', 'cae', 'bicicleta']",4.8
"['woman', 'playing', 'flute']","['mujer', 'tocando', 'flauta']",5.0
"['rabbit', 'running', 'eagle']","['liebre', 'huyendo', 'águila']",4.2
"['woman', 'frying', 'breaded', 'pork', 'chop']","['mujer', 'cocinando', 'chuleta', 'cerdo', 'empanizada']",4.2
"['girl', 'flying', 'kite']","['chica', 'corriendo', 'volando', 'cometa']",4.0
"['man', 'riding', 'mechanical', 'bull']","['hombre', 'montaba', 'toro', 'mecánico']",4.0
"['man', 'playing', 'guitar']","['hombre', 'tocando', 'guitarra']",4.909
"['woman', 'dancing', 'singing', 'woman']","['mujer', 'bailando', 'cantando', 'bajo', 'lluvia']",3.0
"['man', 'slicing', 'bun']","['hombre', 'cortando', 'cebolla']",2.4
"['man', 'pouring', 'oil', 'pan']","['hombre', 'vertiendo', 'aceite', 'sartén']",4.2
"['lion', 'playing', 'people']","['león', 'jugando', 'do', 'hombre']",3.4
"['dog', 'ride', 'skateboard']","['perro', 'montando', 'monopatín']",5.0
"['someone', 'carving', 'statue']","['hombre', 'tallando', 'estatua']",3.75
"['woman', 'slicing', 'onion']","['hombre', 'cortando', 'cebolla']",2.75
"['woman', 'peel', 'shrimp']","['mujer', 'pelando', 'camarones']",5.0
"['woman', 'frying', 'fish']","['mujer', 'cocinando', 'pescado']",4.0
"['woman', 'playing', 'electric', 'guitar']","['mujer', 'tocando', 'guitarra']",3.6
"['baby', 'tiger', 'playing', 'ball']","['bebé', 'jugando', 'muñeca']",1.6
"['person', 'slicing', 'tomato']","['persona', 'cortando', 'carne']",1.75
"['person', 'cut', 'onion']","['persona', 'cortando', 'cebolla']",5.0
"['man', 'playing', 'piano']","['mujer', 'tocando', 'violín']",1.0
"['woman', 'playing', 'flute']","['hombre', 'tocando', 'guitarra']",1.0
"['man', 'cutting', 'potato']","['hombre', 'cortando', 'zanahorias']",2.375
"['kid', 'playing', 'guitar']","['chico', 'tocando', 'guitarra']",3.8
"['boy', 'playing', 'guitar']","['hombre', 'tocando', 'guitarra']",3.2
"['man', 'playing', 'guitar']","['chico', 'tocando', 'guitarra']",3.2
"['little', 'boy', 'playing', 'keyboard']","['niño', 'jugando', 'teclado']",4.4
"['man', 'playing', 'guitar']","['hombre', 'tocando', 'guitarra', 'eléctrica']",3.75
"['dog', 'lick', 'baby']","['perro', 'lamiendo', 'bebé']",4.75
"['woman', 'slicing', 'onion']","['hombre', 'cortando', 'cebando']",3.2
"['man', 'playing', 'guitar']","['hombre', 'tocando', 'batería']",1.556
"['woman', 'slicing', 'pepper']","['mujer', 'cortando', 'pimiento', 'rojo']",3.938
"['man', 'playing', 'drum']","['hombre', 'toca', 'tambor']",5.0
"['woman', 'ride', 'horse']","['mujer', 'montando', 'caballo']",5.0
"['man', 'eating', 'banana', 'tree']","['hombre', 'comiendo', 'plátano']",4.0
"['cat', 'playing', 'key', 'board']","['hombre', 'tocando', 'do', 'teclados']",1.6
"['man', 'chop', 'tree', 'axe']","['hombre', 'cortó', 'árbol', 'hacha']",4.75
"['kid', 'play', 'toy', 'phone']","['niño', 'pequeño', 'juega', 'teléfono', 'juguete']",3.5
"['man', 'riding', 'motorcycle']","['hombre', 'montando', 'caballo']",1.4
"['man', 'riding', 'motorcycle']","['hombre', 'montando', 'caballo']",1.4
"['squirrel', 'spinning', 'around', 'circle']","['ardilla', 'corre', 'círculos']",4.0
"['man', 'woman', 'kissing']","['hombre', 'mujer', 'besan']",5.0
"['man', 'getting', 'car']","['hombre', 'metiendo', 'coche', 'garaje']",3.833
"['man', 'dancing']","['hombre', 'hablando']",0.6
"['man', 'playing', 'guitar', 'singing']","['hombre', 'tocando', 'guitarra']",2.917
"['person', 'cutting', 'mushroom']","['persona', 'cortando', 'seta', 'cuchillo']",4.2
"['tiger', 'cub', 'making', 'sound']","['tigre', 'caminando', 'ahí']",2.0
"['person', 'slicing', 'onion']","['persona', 'pelando', 'cebolla']",2.6
"['man', 'playing', 'piano']","['hombre', 'tocando', 'trompeta']",1.6
"['woman', 'peeling', 'potato']","['mujer', 'pelando', 'manzana']",2.0
"['pankda', 'eating', 'bamboo']","['oso', 'panda', 'comiendo', 'bambú']",4.2
"['person', 'peeling', 'onion']","['persona', 'pelando', 'berenjena']",2.0
"['monkey', 'push', 'another', 'monkey']","['mono', 'empujó', 'mono']",4.8
"['squirrel', 'run', 'around', 'circle']","['ardilla', 'mueve', 'círculos']",4.4
"['man', 'tying', 'shoe']","['hombre', 'ata', 'zapato']",5.0
"['boy', 'singing', 'playing', 'piano']","['niño', 'tocando', 'piano']",3.0
"['dog', 'eating', 'water', 'melon']","['perro', 'comiendo', 'pedazo', 'sandía']",4.25
"['woman', 'chopping', 'broccoli']","['mujer', 'cortando', 'brócoli', 'cuchillo']",4.25
"['man', 'peeling', 'potato']","['hombre', 'peló', 'patata']",3.8
"['woman', 'playing', 'guitar']","['hombre', 'toca', 'guitarra']",2.4
"['woman', 'slicing', 'tomato']","['hombre', 'cortando', 'cebolla']",1.6
"['man', 'swim', 'underwater']","['mujer', 'nadando', 'bajo', 'agua']",2.0
"['man', 'woman', 'talking']","['hombre', 'mujer', 'comiendo']",1.6
"['small', 'dog', 'chasing', 'yoga', 'ball']","['perro', 'persiguiendo', 'pelota']",4.0
"['men', 'playing', 'cricket']","['hombre', 'jugando', 'baloncesto']",2.2
"['man', 'ride', 'motorcycle']","['hombre', 'va', 'motocicleta']",4.4
"['man', 'playing', 'guitar']","['hombre', 'cantando', 'tocando', 'guitarra']",3.6
"['man', 'talked', 'telephone']","['hombre', 'hablando', 'teléfono']",3.6
"['man', 'fishing']","['hombre', 'haciendo', 'ejercicio']",0.5
"['man', 'levitating']","['hombre', 'hablando']",0.8
"['two', 'boy', 'driving']","['do', 'bahías', 'bailando']",0.6
"['man', 'riding', 'horse']","['chica', 'montando', 'caballo']",2.6
"['man', 'riding', 'bicycle']","['mono', 'montando', 'bicicleta']",2.0
"['man', 'slicing', 'potato']","['mujer', 'pelando', 'patatas']",2.2
"['woman', 'peeling', 'potato']","['hombre', 'cortando', 'patatas']",2.4
"['man', 'playing', 'guitar']","['someoen', 'tocando', 'guitarra']",3.6
"['woman', 'slicing', 'leek']","['mujer', 'cortando', 'jengibre']",2.2
"['man', 'cut', 'paper', 'plate']","['hombre', 'cortando', 'plato', 'papel']",4.8
"['man', 'playing', 'guitar']","['hombre', 'tocando', 'flauta']",1.643
"['man', 'playing', 'piano']","['hombre', 'tocando', 'violín']",1.75
"['woman', 'slicing', 'meat']","['mujer', 'empanando', 'carne']",2.25
"['man', 'playing', 'keyboard']","['hombre', 'tocando', 'teclado', 'piano']",4.0
"['lady', 'chopped', 'green', 'onion']","['señora', 'cortó', 'cebolla', 'verde']",4.8
"['someone', 'sitring', 'noodle', 'water']","['mujer', 'hirviendo', 'fideos', 'agua']",3.2
"['lionel', 'richie', 'dancing', 'ceiling']","['lionel', 'ritchie', 'baila', 'mientras', 'pie', 'techo']",4.0
"['man', 'playing', 'piano']","['persona', 'tocando', 'piano']",4.4
"['woman', 'playing', 'flute']","['mujer', 'toca', 'flauta']",4.6
"['boy', 'checking', 'calender']","['chico', 'mirando', 'calendario']",3.8
"['woman', 'cutting', 'onion']","['mujer', 'cortando', 'cebollas']",4.8
"['man', 'playing', 'guitar']","['hombre', 'toca', 'guitarra']",4.857
"['woman', 'using', 'sewing', 'machine']","['mujer', 'cosiendo', 'máquina']",5.0
"['woman', 'flipping', 'pancake']","['chef', 'dibujos', 'animados', 'haciendo', 'panqueques']",2.533
"['man', 'running', 'road']","['coche', 'conduciendo', 'carretera']",1.0
"['man', 'riding', 'horse']","['hombre', 'hablando', 'teléfono']",1.0
"['man', 'riding', 'bike']","['hombre', 'montando', 'caballo']",2.0
"['woman', 'dancing']","['hombre', 'comiendo']",0.143
"['man', 'playing', 'piano']","['hombre', 'tocando', 'flauta']",2.0
"['man', 'playing', 'flute']","['hombre', 'tocando', 'piano']",1.6
"['man', 'spinning']","['hombre', 'bailando']",1.6
"['monkey', 'swinging', 'limb', 'limb']","['mono', 'balancea', 'árbol', 'árbol']",3.4
"['people', 'got', 'train']","['gente', 'bajó', 'tren', 'estación']",4.0
"['dog', 'jumping', 'trampoline']","['perro', 'rebota', 'trampolín']",4.8
