sent1,sent2,score
a plane is taking off,an air plane is taking off,5.0
a man is playing a large flute,a man is playing a flute,3.8
a man is spreading shreded cheese on a pizza,a man is spreading shredded cheese on an uncooked pizza,3.8
three men are playing chess,two men are playing chess,2.6
a man is playing the cello,a man seated is playing the cello,4.25
some men are fighting,two men are fighting,4.25
a man is smoking,a man is skating,0.5
the man is playing the piano,the man is playing the guitar,1.6
a man is playing on a guitar and singing,a woman is playing an acoustic guitar and singing,2.2
a person is throwing a cat on to the ceiling,a person throws a cat on the ceiling,5.0
the man hit the other man with a stick,the man spanked the other man with a stick,4.2
a woman picks up and holds a baby kangaroo,a woman picks up and holds a baby kangaroo in her arms,4.6
a man is playing a flute,a man is playing a bamboo flute,3.867
a person is folding a piece of paper,someone is folding a piece of paper,4.667
a man is running on the road,a panda dog is running on the road,1.667
a dog is trying to get bacon off his back,a dog is trying to eat the bacon on its back,3.75
the polar bear is sliding on the snow,a polar bear is sliding across the snow,5.0
a woman is writing,a woman is swimming,0.5
a cat is rubbing against babys face,a cat is rubbing against a baby,3.8
the man is riding a horse,a man is riding on a horse,5.0
a man pours oil into a pot,a man pours wine in a pot,3.2
a man is playing a guitar,a girl is playing a guitar,2.8
a panda is sliding down a slide,a panda slides down a slide,4.6
a woman is eating something,a woman is eating meat,3.0
a woman peels a potato,a woman is peeling a potato,5.0
the boy fell off his bike,a boy falls off his bike,4.8
the woman is playing the flute,a woman is playing a flute,5.0
a rabbit is running from an eagle,a hare is running from a eagle,4.2
the woman is frying a breaded pork chop,a woman is cooking a breaded pork chop,4.2
a girl is flying a kite,a girl running is flying a kite,4.0
a man is riding a mechanical bull,a man rode a mechanical bull,4.0
the man is playing the guitar,a man is playing a guitar,4.909
a woman is dancing and singing with other women,a woman is dancing and singing in the rain,3.0
a man is slicing a bun,a man is slicing an onion,2.4
a man is pouring oil into a pan,a man is pouring oil into a skillet,4.2
a lion is playing with people,a lion is playing with two men,3.4
a dog rides a skateboard,a dog is riding a skateboard,5.0
someone is carving a statue,a man is carving a statue,3.75
a woman is slicing an onion,a man is cutting an onion,2.75
a woman peels shrimp,a woman is peeling shrimp,5.0
a woman is frying fish,a woman is cooking fish,4.0
a woman is playing an electric guitar,a woman is playing a guitar,3.6
a baby tiger is playing with a ball,a baby is playing with a doll,1.6
a person is slicing a tomato,a person is slicing some meat,1.75
a person cuts an onion,a person is cutting an onion,5.0
a man is playing the piano,a woman is playing the violin,1.0
a woman is playing the flute,a man is playing the guitar,1.0
a man is cutting up a potato,a man is cutting up carrots,2.375
a kid is playing guitar,a boy is playing a guitar,3.8
a boy is playing guitar,a man is playing a guitar,3.2
a man is playing guitar,a boy is playing a guitar,3.2
a little boy is playing a keyboard,a boy is playing key board,4.4
a man is playing a guitar,a man is playing an electric guitar,3.75
a dog licks a baby,a dog is licking a baby,4.75
a woman is slicing an onion,a man is cutting and onion,3.2
a man is playing the guitar,a man is playing the drums,1.556
a woman is slicing a pepper,a woman is cutting a red pepper,3.938
a man is playing the drums,a man plays the drum,5.0
a woman rides a horse,a woman is riding a horse,5.0
a man is eating a banana by a tree,a man is eating a banana,4.0
a cat is playing a key board,a man is playing two keyboards,1.6
a man chops down a tree with an axe,a man cut a tree with an axe,4.75
a kid plays with a toy phone,a little boy plays with a toy phone,3.5
a man is riding a motorcycle,a man is riding a horse,1.4
a man is riding a motorcycle,a man is riding a horse,1.4
a squirrel is spinning around in circles,a squirrel runs around in circles,4.0
a man and a woman are kissing,a man and woman kiss,5.0
a man is getting into a car,a man is getting into a car in a garage,3.833
a man is dancing,a man is talking,0.6
a man is playing the guitar and singing,a man is playing the guitar,2.917
a person is cutting mushrooms,a person is cutting mushrooms with a knife,4.2
a tiger cub is making a sound,a tiger is walking around,2.0
a person is slicing onions,a person is peeling an onion,2.6
a man is playing the piano,a man is playing the trumpet,1.6
a woman is peeling a potato,a woman is peeling an apple,2.0
a pankda is eating bamboo,a panda bear is eating some bamboo,4.2
a person is peeling an onion,a person is peeling an eggplant,2.0
a monkey pushes another monkey,the monkey pushed the other monkey,4.8
a squirrel runs around in circles,a squirrel is moving in circles,4.4
a man is tying his shoe,a man ties his shoe,5.0
a boy is singing and playing the piano,a boy is playing the piano,3.0
